Wavelength[nm],T% at AOI 0 deg
1100,0.001717491657
1099.5,-8.87E-05
1099,0.0002268403041
1098.5,0.002121805912
1098,0.0001513162861
1097.5,0.001009877189
1097,0.002124257153
1096.5,0.0007526733098
1096,0.002818498528
1095.5,0.00153239374
1095,0.002815257758
1094.5,0.002358216327
1094,0.001901449985
1093.5,0.001886523562
1093,0.001950551057
1092.5,0.002276897896
1092,0.00373707735
1091.5,0.003278504591
1091,0.002831717022
1090.5,0.002182007069
1090,0.001569703221
1089.5,0.000340918341
1089,0.001497682533
1088.5,0.001098549459
1088,0.00100876065
1087.5,0.001438333653
1087,0.001210083836
1086.5,0.0004820155154
1086,0.000980985933
1085.5,0.0002868024167
1085,0.0001670336787
1084.5,0.001665022108
1084,-0.0002265729854
1083.5,0.001217994955
1083,-0.0005529155605
1082.5,0.0006032756646
1082,0.001476490754
1081.5,0.001148064621
1081,0.0002936421079
1080.5,-0.0005297964672
1080,0.00113668642
1079.5,-0.0003310566244
1079,-0.0002086050663
1078.5,0.001672849408
1078,0.001295472612
1077.5,0.000594626239
1077,-0.0002734356385
1076.5,-0.0005340953358
1076,-7.32E-05
1075.5,0.001217489014
1075,0.0001483427768
1074.5,0.0007760506123
1074,-0.0001197342499
1073.5,0.0007090800209
1073,0.0004286399926
1072.5,0.00105943915
1072,-0.0007347841747
1071.5,0.000708000036
1071,0.002674726071
1070.5,0.00030657358
1070,-0.0003668651625
1069.5,0.001058791298
1069,0.000405969331
1068.5,8.38E-05
1068,6.73E-05
1067.5,-0.0005806460395
1067,0.0009196005412
1066.5,0.000579033047
1066,0.0009491887758
1065.5,0.0004281737783
1065,0.001045978628
1064.5,0.0007161375834
1064,0.0003142775968
1063.5,6.17E-05
1063,0.0005025058053
1062.5,-0.0004075946927
1062,5.62E-05
1061.5,0.000460654468
1061,0.0002795577166
1060.5,-0.0002584033937
1060,-0.0008245370118
1059.5,-0.0007832920528
1059,-0.000149789339
1058.5,0.0007352661341
1058,0.0001295862166
1057.5,0.001158565865
