Wavelength[nm],T% at AOI 0 deg
1100,0.0006957327714
1099.5,9.16E-05
1099,-0.0004628610332
1098.5,0.001991380006
1098,-0.0008304884541
1097.5,-0.001164655667
1097,0.0007543776301
1096.5,-0.0002652749827
1096,0.001926760306
1095.5,0.0003921931202
1095,0.001307565137
1094.5,0.0007076025358
1094,0.0007634054055
1093.5,0.001140454551
1093,0.0008337348117
1092.5,-6.11E-05
1092,0.0005274174036
1091.5,0.001335695619
1091,0.001076988876
1090.5,0.0003324146091
1090,0.000725813501
1089.5,-0.0002885026042
1089,0.001557878335
1088.5,0.0007915450842
1088,0.001062901691
1087.5,0.001538985642
1087,0.002043990651
1086.5,-0.0002720236371
1086,0.0003791211057
1085.5,0.001928168116
1085,0.000705151353
1084.5,0.00112144975
1084,-0.0006011066725
1083.5,0.001380737987
1083,-0.001260813442
1082.5,0.0002541057183
1082,0.0002163243771
1081.5,-0.000662500097
1081,-0.0007612398476
1080.5,-0.0009024609462
1080,-6.63E-06
1079.5,-0.0003499651502
1079,-0.00162087183
1078.5,0.0008863413241
1078,0.0009854391683
1077.5,0.00146806438
1077,-0.0003839829296
1076.5,0.0001959628135
1076,-0.0003194793826
1075.5,0.0003927617508
1075,6.03E-05
1074.5,0.00093805301
1074,-0.0008134609088
1073.5,0.000319584622
1073,0.0003366439196
1072.5,-0.0003156032762
1072,-1.51E-05
1071.5,0.0005669775419
1071,0.0001689822384
1070.5,0.0002132835507
1070,-3.00E-05
1069.5,0.0003373631334
1069,0.0007431166596
1068.5,-0.0006009906647
1068,-0.0003723333648
1067.5,0.0006244375254
1067,0.0006478365976
1066.5,-0.000635340577
1066,-0.0006353616482
1065.5,0.0003407479962
1065,0.001599720912
1064.5,3.54E-05
1064,-0.0003245261614
1063.5,0.0001778209698
1063,0.0005058895331
1062.5,0.001549815875
1062,0.0003316655348
1061.5,2.13E-05
1061,7.17E-05
1060.5,0.0001573062327
1060,0.001321007381
1059.5,-0.001111270278
1059,-0.0005841274979
1058.5,-0.0003438073909
1058,-0.000121202087
1057.5,0.0005845850683
1057,0.0007635041839
1056.5,-0.0002831978782
1056,-0.0004787335929
1055.5,0.0003979292233
1055,0.000331854244
1054.5,0.0008594896062
1054,0.00120795262
1053.5,9.26E-05
1053,0.0004709383065
1052.5,0.0003089191741
1052,-3.57E-05
1051.5,-0.001055284403
1051,-0.0001596844959
1050.5,-0.000838568958
1050,0.001247329987
1049.5,-0.0006176657043
1049,0.001434154226
1048.5,0.0006382373977
1048,0.0003960851755
1047.5,0.0005299195182
1047,0.0001703600283
1046.5,0.0004478838819
1046,0.0005827725981
1045.5,0.001344218734
1045,0.0008650950622
1044.5,0.0006262175739
1044,-0.001164909801
1043.5,0.0009828998009
1043,0.0004115246993
1042.5,0.0003200666106
1042,0.0002846518473
1041.5,0.0003264658735
1041,0.0007778807194
1040.5,-8.54E-06
1040,0.0004734738905
1039.5,-0.0002915830119
1039,0.001400956884
1038.5,-0.0003768699826
1038,-0.001299668569
1037.5,0.001223013387
1037,0.0001754882687
1036.5,0.0002884494024
1036,-0.00102749432
1035.5,0.0009746602736
1035,0.0004547266581
1034.5,0.0006140784244
1034,0.0004636498634
1033.5,-0.0007235210505
1033,-0.0004849581164
1032.5,-0.001708975644
1032,0.0001721398585
1031.5,0.0003730625904
1031,-5.85E-05
1030.5,0.001410958474
1030,0.0006733843475
1029.5,-0.0006364731234
1029,0.001115323044
1028.5,0.001112618367
1028,-0.0001698435226
1027.5,0.001207277179
1027,-1.51E-05
1026.5,0.0009113347623
1026,0.0002855416096
1025.5,-0.000456582522
1025,0.0005944415461
1024.5,-0.0009521034081
1024,-0.0001228703768
1023.5,-0.0006785193691
1023,9.16E-05
1022.5,-0.0002831889433
1022,0.0002474185894
1021.5,-0.0009232908487
1021,-0.0007638661191
1020.5,2.71E-06
1020,0.0008405351546
1019.5,0.001258595148
1019,0.0009723596741
1018.5,-0.0004513849562
1018,0.0004983212566
1017.5,-0.0009763172129
1017,-0.0005076478119
1016.5,0.0002109330089
1016,0.001019033021
1015.5,-0.001789253089
1015,-0.0007136313361
1014.5,0.0006253352622
1014,-0.0001471264113
1013.5,0.0005119614652
1013,-0.0007061621291
1012.5,-0.0002647768706
1012,-0.0002558089618
1011.5,0.0006667952402
1011,0.0005083325668
1010.5,-0.001223513042
1010,0.0008147998597
1009.5,-0.0003266939893
1009,-3.63E-05
1008.5,7.47E-06
1008,0.0001304573962
1007.5,-0.0001299698342
1007,0.0004437300086
1006.5,0.00118333823
1006,0.000792949344
1005.5,0.000345203036
1005,-0.0008354021702
1004.5,3.15E-05
1004,0.00160561793
1003.5,0.0003409707278
1003,0.0005190560478
1002.5,0.0001952665334
1002,0.0007108033751
1001.5,0.0006167383981
1001,0.0005284408689
1000.5,0.001428240445
1000,0.0005371500156
999.5,-0.0002641060564
999,-0.0008192927344
998.5,-0.0002971868671
998,-3.68E-05
997.5,-0.0007697432302
997,-0.001710844808
996.5,0.001790689537
996,0.0007389920065
995.5,-0.0003483080945
995,-5.77E-05
994.5,0.0003147583629
994,-0.0003420013527
993.5,0.0003096422588
993,-0.0001915344474
992.5,0.000119099197
992,0.0004766667262
991.5,-0.000197048168
991,-0.0002524010488
990.5,-0.0003180460772
990,-0.0001103161339
989.5,0.0007273514639
989,-0.001109248493
988.5,-7.68E-06
988,-0.0008781963261
987.5,-0.0007940170472
987,0.0001429294643
986.5,0.000249620789
986,0.0006199728232
985.5,-0.0004205575678
985,0.0003516844881
984.5,-0.0007246213499
984,-0.0007291371003
983.5,-0.0001371057006
983,-0.000135236507
982.5,-0.0002060989355
982,0.0003492466349
981.5,0.0007562713581
981,0.001541600563
980.5,0.0008100739215
980,0.0008469809545
979.5,-0.0001821937331
979,-0.0005474287318
978.5,-0.0002832772443
978,0.000241724294
977.5,-0.0002315191959
977,-0.0008847740246
976.5,-0.000260470144
976,0.0005536208046
975.5,-4.22E-06
975,-0.0007830170798
974.5,-0.001281428616
974,0.0004578939697
973.5,-0.0004548537254
973,-0.0002539221314
972.5,0.00163143361
972,-0.000346684159
971.5,0.001167685841
971,0.0003067229118
970.5,0.0005285810912
970,-8.59E-07
969.5,-0.0004198182141
969,-0.0002022448753
968.5,7.54E-05
968,0.0004949946888
967.5,-0.0002762939548
967,-7.32E-06
966.5,0.000401249039
966,-0.0008695548167
965.5,-0.0006052834215
965,-0.001173362485
964.5,0.0001360211172
964,0.0003093747073
963.5,0.0007130620652
963,-0.0003219158389
962.5,-0.00056685647
962,-0.0006420729333
961.5,0.0006583249778
961,0.0002908768074
960.5,0.0001029872801
960,0.000745363941
959.5,-9.40E-05
959,0.001091606682
958.5,0.001190963434
958,0.0004755816481
957.5,-0.0002697100572
957,0.000570249802
956.5,0.001387608936
956,0.0006694521871
955.5,0.00110472471
955,-0.0004271884682
954.5,0.000293413148
954,0.0001315498521
953.5,0.0001188697497
953,-0.001133167883
952.5,0.001222757273
952,0.001101870672
951.5,0.0004155878269
951,-0.0007930038264
950.5,-0.0003440875444
950,-0.001361010363
949.5,-0.002264556941
949,-0.001020736061
948.5,-0.0001530053414
948,0.000577050203
947.5,0.00143100007
947,0.0002358221973
946.5,-0.0004435123119
946,0.000990799279
945.5,0.0004588784941
945,0.0001497534831
944.5,-0.00075421168
944,2.03E-05
943.5,-0.0002389365982
943,-9.77E-05
942.5,6.72E-05
942,-0.0005214582779
941.5,-4.07E-05
941,9.39E-06
940.5,7.89E-06
940,-0.0007829829701
939.5,0.0006765355938
939,0.0007198457024
